Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,constraints,gamma1,gamma2,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m_c1,PAC,1.0,0.5,27000,1m,25.0,1.0,c1,50.0,0.0,1356.6998611092329,0.5669110023964749,0.004841134472822955,0.28133018340851135,0.879310838561026,1.1742663581407766,1.157539591219286,1.1152826876445638,1.149029545668209
Persistence_P,PAC,1.0,0.5,0,1m,,,c1,50.0,0.0,1172.054823351798,0.4897551726929038,-0.00021732197195218733,0.2395795310477456,0.9099265989095293,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,1.0,27000,1m,25.0,1.0,c1,50.0,0.0,1425.7533779069913,0.5957657252051087,0.006502462978792529,0.2978021059964257,0.8667124678156707,0.7854139333320105,0.8370982865599916,0.860010924562891,0.8275077148182977
Persistence_P,PAC,1.0,1.0,0,1m,,,c1,50.0,0.0,1703.2090505955337,0.711703434077466,-0.0003280273210753594,0.3791658046261559,0.8097885653863187,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,3.0,27000,1m,25.0,1.0,c1,50.0,0.0,1769.6478478932627,0.7394655694279311,-0.009711852775096076,0.3798749927014564,0.7946595954787635,0.4273343997312136,0.4918711700878406,0.5331309633785243,0.4841121777325261
Persistence_P,PAC,1.0,3.0,0,1m,,,c1,50.0,0.0,3597.7872977943207,1.5033724568485565,-0.0009196268938369658,0.8889408223171166,0.15126584992755576,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,6.0,27000,1m,25.0,1.0,c1,50.0,0.0,1762.180711136762,0.7363453494699234,-0.00964723865234161,0.3764578601521864,0.7963888321146284,0.24954689358695933,0.3196050667406447,0.36101023117905356,0.3100540638355525
Persistence_P,PAC,1.0,6.0,0,1m,,,c1,50.0,0.0,5513.619446361119,2.303922641087095,-0.0012706146186461326,1.5085656036066928,-0.9933074214712811,1.0,1.0,1.0,1.0
ELM_rolling_1m_c1,PAC,1.0,10.0,27000,1m,25.0,1.0,c1,50.0,0.0,1764.649937629165,0.7373771411771972,-0.010570949762810464,0.3782505349102377,0.7958178187897956,0.1963550188219528,0.2753576667460582,0.3215193620794674,0.2644106825491595
Persistence_P,PAC,1.0,10.0,0,1m,,,c1,50.0,0.0,6408.573832289803,2.677888543619978,-0.00037723499131814823,1.9263604117663058,-1.692920255249347,1.0,1.0,1.0,1.0
