Method,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_corre,1.0,0.5,0,1133.085429219593,0.4745745002783582,-0.001858106754180301,0.2331234351904227,0.9156467279055963,0.9739579878313109,0.969262364460124,0.9667247037746184,0.969981685355351
Persistence_P,1.0,0.5,0,1169.018287273248,0.48962439653033946,-0.0002028382557094,0.23935676703007805,0.9102118064538459,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,2298.3492310510946,0.9626263913237879,0.0004946001312384647,0.42927190161613055,0.652936722531641,1.7934395878692133,1.9660507077370255,1.9380362370529507,1.8991755108863966
BLEND_corre,1.0,1.0,0,1603.5264115254515,0.6716110946347357,-0.004186521323202432,0.356538735235344,0.8310614123355391,0.9406217401555557,0.943537272071323,0.9454274932384881,0.9431955018217888
Persistence_P,1.0,1.0,0,1699.4839091043764,0.7118013400364833,-0.00025463430143431317,0.3790458162027823,0.8102373493608154,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,2298.3492310510946,0.9626263913237879,0.0004946001312384647,0.42927190161613055,0.652936722531641,1.1325066344657349,1.3523806955385171,1.42930300902989,1.3047301130113806
BLEND_corre,1.0,3.0,0,3007.596817045506,1.2595568865961992,-0.002229239969157098,0.727738737658974,0.4057344187096892,0.8181260136746823,0.8368428136799365,0.8460772392593742,0.8336820222046644
Persistence_P,1.0,3.0,0,3593.980575419995,1.5051295966292857,-0.0006037227097737822,0.8895191272433373,0.15141999275409812,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,2298.479541437,0.9625843858823462,0.0004903766646746743,0.4292693909379232,0.652925561768714,0.48258590264185747,0.6395358831811154,0.727110200816252,0.616410662213075
BLEND_corre,1.0,6.0,0,3817.008558028834,1.5982591832065542,-0.005409954414536815,1.0169849142541145,0.042936366548376736,0.6734400980247994,0.6927644847616417,0.7061835485917688,0.6907960437927366
Persistence_P,1.0,6.0,0,5509.821363521754,2.3070743641779856,-0.0003613495671311032,1.5101341860054553,-0.9942040048524172,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,2298.6764987692864,0.9625026424557859,0.0004911505510769224,0.4292689494737494,0.6529034809424423,0.28425881186706586,0.41719619332631575,0.4939210346380854,0.39845867994382234
BLEND_corre,1.0,10.0,0,3731.279745179784,1.5620057338650726,-0.0039548940364323255,1.1095225274374234,0.08557497588397334,0.5757116492874461,0.5827305683554156,0.5923310826358565,0.583591100092906
Persistence_P,1.0,10.0,0,6403.095955151651,2.680493900076962,0.0004177634332251303,1.927219170935087,-1.6928521010434818,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,2298.9392046557177,0.9623926547234581,0.0004911505510769216,0.4292689494737491,0.6528737519211738,0.22274007852748154,0.359035569786533,0.4401107555876496,0.34062880130055473
