Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,lambda_bc,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1y,humidity,1.0,0.5,27000,1y,10.0,1.0,1008,2.3666040254297434,0.03356759187014614,-0.0005770488756530286,0.023130140070567736,0.9612938335637664,1.3672458591009682,1.2568372333944708,1.1769402387202572,1.2670077770718988
Persistence_P,humidity,1.0,0.5,0,1y,,,1008,1.882983701109817,0.026707986506324822,2.7503159963296573e-06,0.01691732318412502,0.9754968406907755,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,1.0,1.0,27000,1y,25.0,1.0,1008,3.349984695621158,0.047515730483652506,-0.0005035498339770007,0.032981328291013357,0.9224441418016589,1.154857425174832,1.0888321861235997,1.0376630495358026,1.093784220278078
Persistence_P,humidity,1.0,1.0,0,1y,,,1008,3.0766767719712522,0.04363916780676313,5.856555239243147e-06,0.02855878792658788,0.9345826861197145,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,1.0,3.0,27000,1y,50.0,1.0,1008,5.650188769606721,0.08014151441029571,-0.0003858511117833114,0.05863751636827262,0.7793749215476009,1.0454229700688038,1.0063145392607955,0.9785328967045208,1.0100901353447067
Persistence_P,humidity,1.0,3.0,0,1y,,,1008,5.61473430937126,0.0796386331346906,1.740788242382773e-05,0.056089753188045446,0.7821350422243833,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,1.0,6.0,27000,1y,100.0,1.0,1008,7.363590027317547,0.10444416644275314,3.6298350670381225e-05,0.07895192176985476,0.6252788866658426,0.9944643868287111,0.9636445631875818,0.9451857985265444,0.9677649161809457
Persistence_P,humidity,1.0,6.0,0,1y,,,1008,7.6413963287044036,0.10838453350192583,3.950748037080604e-05,0.07939140185967626,0.5964713144474166,1.0,1.0,1.0,1.0
ELM_rolling_1y,humidity,1.0,10.0,27000,1y,100.0,1.0,1008,8.812782008438097,0.12499930977937859,0.00027189032204640934,0.09680294311462305,0.46327105447114836,0.9531972134615478,0.9307678020970207,0.9195869032488158,0.9345173062691282
Persistence_P,humidity,1.0,10.0,0,1y,,,1008,9.468292724117541,0.13429698523923478,5.853319508651809e-05,0.10155604920736384,0.3804557731392514,1.0,1.0,1.0,1.0
