Method,quantity,LB_days,FH_hours,N_params,window,lambda_ridge,refit_every,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
ELM_rolling_1m,humidity,3.0,1.5,75000,1m,100.0,1008,5.128834431079748,0.07206015257014438,0.0012339244713063865,0.052845544743791335,0.8446293812284007,1.7201015218584228,1.524286892361593,1.3701731698435498,1.5381871946878551
Persistence_P,humidity,3.0,1.5,0,1m,,1008,3.364743511724091,0.047274665242643954,2.413209552480569e-05,0.030722340555048307,0.9331293622349992,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,3.0,3.0,75000,1m,100.0,1008,6.333870786716375,0.08899092013665853,0.0006889799821566835,0.06622067300328266,0.7630427858842388,1.3632251072457835,1.2508864721318886,1.160094085215382,1.2580685548643515
Persistence_P,humidity,3.0,3.0,0,1m,,1008,5.063505704016085,0.07114228358788717,4.687606266738657e-05,0.04857647695256493,0.848562251678721,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,3.0,9.0,75000,1m,100.0,1008,8.993029151709653,0.12635211010380096,0.0026478101623495765,0.09648646233284663,0.5223128717291022,1.0324139063431381,1.0002052540923378,0.9799302909569987,1.004183150464158
Persistence_P,humidity,3.0,9.0,0,1m,,1008,8.991183674465507,0.12632618113815292,0.0001336341532934288,0.09345715099344848,0.5225089058476997,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,3.0,18.0,75000,1m,100.0,1008,10.745415768232453,0.15097315191074567,0.002503346464763991,0.11558722591392101,0.31801003430418595,0.8450813184073878,0.8649588250140193,0.8853878952292563,0.8651426795502211
Persistence_P,humidity,3.0,18.0,0,1m,,1008,12.423037325572452,0.17454374421614657,0.0001930567690035092,0.13677645381127684,0.08843610233353572,1.0,1.0,1.0,1.0
ELM_rolling_1m,humidity,3.0,30.0,75000,1m,100.0,1008,11.863474201599065,0.16668187918072955,0.004470666524575724,0.12813420944520848,0.16870471569625034,0.7485377612478743,0.7854500010828785,0.8161867587682246,0.7833915070329924
Persistence_P,humidity,3.0,30.0,0,1m,,1008,15.104047597228615,0.2122119535946652,0.00022802694788612402,0.1711793527043955,-0.34746727821396295,1.0,1.0,1.0,1.0
