Method,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_l3,delta_l3,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,1.0,0.5,0,,,,,1128.351846556105,0.6592696936477194,-0.015828342496210707,0.28152873098288095,0.863963982299859,0.9266064009478867,0.9415942509898019,0.9499479371458078,0.9393828630278321
ELM,1.0,0.5,27000,500.0,100.0,10.0,500.0,1305.0354979799604,0.7625018344930471,0.1118407926940273,0.4397743281937165,0.8180259453114179,1.4474462555000585,1.089034352171323,0.9539542183684908,1.1634782753466242
Persistence_P,1.0,0.5,0,,,,,1198.3419029693353,0.7001632528604507,-0.00016556442259279194,0.30382774249658395,0.8465643372533291,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,0.5,0,,,,,2627.7077865578945,1.5353084348000055,-0.003716643207428648,0.6673438551021244,0.26223345443350765,2.1964546411018655,2.1927863659334426,1.989609935020365,2.1262836473518907
BLEND_opti,1.0,1.0,0,,,,,1532.5941076823665,0.895419009360991,-0.03629775482018116,0.39917343854502996,0.7490392574167499,0.805913008287573,0.8689400451342968,0.9042063452241836,0.8596864662153512
ELM,1.0,1.0,27000,500.0,100.0,10.0,500.0,1704.3046826880295,0.9957410138615084,0.14927730529552688,0.5913630958265924,0.689654135746078,1.1939351808702536,0.9662953684045206,0.8899093022465147,1.0167132838404298
Persistence_P,1.0,1.0,0,,,,,1763.7512694509323,1.0304727171626689,-0.0003020374220943455,0.4953058635859534,0.6676266713896553,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,1.0,0,,,,,2627.766505628897,1.535274127381595,-0.0037166432074286506,0.6673438551021244,0.26222313419639975,1.3473368763911597,1.4898736296569404,1.467923464033795,1.4350446566939652
BLEND_opti,1.0,3.0,0,,,,,2136.316216324284,1.2480324406870429,-0.07453217450597628,0.5842880734247681,0.5124087620519173,0.5467259237433355,0.670409422865864,0.7394109163714832,0.6521820876602274
ELM,1.0,3.0,27000,500.0,100.0,10.0,500.0,2162.721053454997,1.2634581033667411,0.21365136032143245,0.7818125486625565,0.5002810319972425,0.731552135501023,0.6786956735090981,0.6804033324285719,0.6968837138128977
Persistence_P,1.0,3.0,0,,,,,3186.584411645001,1.8615974031987168,-0.0004859978916418932,1.0687038021249315,-0.08486493715689836,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,3.0,0,,,,,2627.883955581159,1.5352055102447586,-0.0037166432074286484,0.6673438551021242,0.2622024900880937,0.6244422952133483,0.8246710634677882,0.9259104237328873,0.791674594138008
BLEND_opti,1.0,6.0,0,,,,,2336.471244259106,1.364779652635782,-0.17180253709577142,0.635323199465122,0.4168158749887194,0.41811503271386047,0.5595206501296943,0.637796578054591,0.538477420299382
ELM,1.0,6.0,27000,500.0,100.0,10.0,500.0,2313.419064646907,1.3513144127956012,0.2479355917486749,0.8408576235550536,0.42826677217778164,0.5533800954796095,0.5540002866519859,0.5659958328892862,0.5577920716736272
Persistence_P,1.0,6.0,0,,,,,4175.844526412961,2.439194428873058,-0.0004907038571419462,1.5194937989706512,-0.8628309901327029,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,6.0,0,,,,,2628.0601600417963,1.5351025787886934,-0.003716643207428647,0.6673438551021244,0.26217151483721013,0.43918827148501843,0.6293481817675076,0.7281538177242295,0.5988967569922519
BLEND_opti,1.0,10.0,0,,,,,2427.003405410688,1.4174484371808949,-0.2544499583889083,0.6441711766062909,0.37083309253565144,0.34580451264096046,0.5024434783934191,0.5913041953240311,0.4798507287861369
ELM,1.0,10.0,27000,500.0,100.0,10.0,500.0,2320.456641430033,1.3552216830880197,0.23081640709635465,0.8458776210166514,0.42486206185921294,0.4540847357228706,0.48038593756481673,0.5038515782906339,0.4794407505261071
Persistence_P,1.0,10.0,0,,,,,4830.4008506013815,2.821110230574068,-0.0004620534932163952,1.8628188848279044,-1.492249081969669,1.0,1.0,1.0,1.0
Persistence_Pcyclic,1.0,10.0,0,,,,,2628.255946180868,1.5349864261088932,-0.003788838644374409,0.6672908952316379,0.2621630308504801,0.35821565943233674,0.5441072133493128,0.6462782938552674,0.5162003888789722
